                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.873,                 5.1171,                 1.0604,                 0.5816,                0.20988,                 0.1962,                0.13324,                 1.1675,                 2.5485,                0.85567,             6.5741e-05,             6.5741e-05,             6.5741e-05
                      2,                 1.5474,                 2.7866,                0.92717,                0.51439,                0.36328,                0.35258,                0.23612,                 1.2139,                 2.0669,                0.86055,              0.0001311,              0.0001311,              0.0001311
                      3,                 1.4969,                 2.1584,                0.92116,                0.46242,                 0.4525,                0.47769,                0.29238,                 1.4452,                 1.5676,                0.88936,             0.00019513,             0.00019513,             0.00019513
                      4,                 1.4093,                 1.8408,                0.91147,                0.48678,                0.54921,                0.51744,                0.32233,                 1.2884,                 1.5767,                 0.8602,             0.00019406,             0.00019406,             0.00019406
                      5,                 1.3456,                 1.6625,                0.89135,                0.50687,                0.58635,                0.59209,                0.39361,                 1.1132,                 1.3765,                0.83257,             0.00019406,             0.00019406,             0.00019406
                      6,                  1.306,                  1.456,                0.88046,                 0.4648,                0.60618,                0.57822,                0.39711,                 1.1161,                 1.4258,                0.83564,             0.00019208,             0.00019208,             0.00019208
                      7,                 1.3134,                 1.3836,                0.88712,                0.57283,                0.64399,                0.67493,                0.40708,                 1.2496,                  1.169,                0.85199,              0.0001901,              0.0001901,              0.0001901
                      8,                  1.318,                 1.3008,                0.88419,                0.66144,                0.55592,                0.67039,                 0.4299,                  1.091,                 1.1545,                0.82447,             0.00018812,             0.00018812,             0.00018812
                      9,                 1.2454,                 1.2156,                0.86738,                0.68399,                0.65241,                0.76515,                0.52976,                 1.0294,                  1.003,                 0.8176,             0.00018614,             0.00018614,             0.00018614
                     10,                 1.2248,                 1.1266,                0.86778,                0.76813,                0.67139,                0.80381,                 0.5843,                0.89305,                0.85688,                0.80474,             0.00018416,             0.00018416,             0.00018416
                     11,                 1.2123,                 1.0723,                0.86824,                0.61665,                0.75078,                0.78533,                0.50786,                 1.1708,                 1.0106,                0.83358,             0.00018218,             0.00018218,             0.00018218
                     12,                 1.2275,                 1.0391,                0.86632,                0.72322,                0.64166,                0.81629,                0.60413,                0.83589,                0.82167,                0.79581,              0.0001802,              0.0001802,              0.0001802
                     13,                 1.1997,                 0.9738,                0.86511,                0.70555,                0.70272,                0.84042,                 0.5882,                0.98131,                0.86855,                 0.8099,             0.00017822,             0.00017822,             0.00017822
                     14,                 1.1286,                0.91429,                0.85587,                0.70225,                0.71082,                0.82993,                0.58457,                0.97736,                0.93739,                0.82007,             0.00017624,             0.00017624,             0.00017624
                     15,                 1.1419,                 0.9446,                0.85682,                0.72626,                0.68666,                0.84566,                0.59168,                  1.021,                0.93206,                0.81585,             0.00017426,             0.00017426,             0.00017426
                     16,                 1.1538,                0.95454,                0.85065,                0.74173,                0.79334,                0.87871,                0.64625,                0.81775,                0.86156,                0.79232,             0.00017228,             0.00017228,             0.00017228
                     17,                 1.0967,                0.87407,                0.84748,                0.79837,                0.77159,                0.89383,                0.65704,                0.88525,                 0.7478,                0.79856,              0.0001703,              0.0001703,              0.0001703
                     18,                 1.1126,                 0.8562,                0.84507,                0.75137,                0.77524,                0.87572,                0.65388,                0.83615,                0.77578,                0.79492,             0.00016832,             0.00016832,             0.00016832
                     19,                 1.0751,                0.83308,                0.84512,                0.77643,                0.82743,                0.92673,                0.67314,                0.93852,                0.68745,                0.80529,             0.00016634,             0.00016634,             0.00016634
